규모기준,현재성장사례,2035 위험사례,2035 위험비율(%),2040 추가악화,2040 추가악화비율(%)
상위 20%,11,11,100.0,11,100.0
상위 25%,14,14,100.0,14,100.0
상위 30%,16,16,100.0,16,100.0
