지역,검증사례수,분류일치율,변경건수,Spearman_rho,비고
서울,61,95.1,3,0.974,"서울 25개 자치구, 생활인구 기반 민감도 검증"
부산,41,90.2,4,0.966,"부산 Q75 41건, 생활인구 주거노출비율 기반 검증"
경기,50,90.0,5,0.991,유동인구 제공지역 중 Q75와 매칭된 15개 시군
